from,to,cost
0,1,2
1,2,1
2,3,2
3,4,2
4,5,3
5,6,2
6,7,2
7,8,1
8,9,2
9,10,2
10,11,2
11,12,3
12,13,3
13,14,2
14,15,2
15,16,2
16,17,1
17,18,2
18,19,2
19,20,2
20,21,2
21,22,2
22,23,2
24,25,2
25,26,2
26,8,2
8,27,2
27,28,1
28,29,3
29,30,2
30,31,2
31,32,1
32,33,2
33,34,1
34,35,3
35,36,2
36,37,2
37,38,2
38,39,2
39,40,1
40,41,2
41,42,2
42,43,2
43,44,3
43,45,3
45,46,2
46,47,2
47,48,3
48,49,3
49,50,3
51,52,2
52,53,2
53,54,4
53,55,2
55,56,2
56,57,2
57,58,3
58,59,1
59,60,2
60,29,2
29,61,2
61,62,2
62,63,2
63,32,2
32,64,3
64,10,2
10,65,2
65,66,2
66,67,3
68,69,2
69,70,2
70,71,2
71,60,4
60,28,4
28,72,3
72,64,2
64,73,2
73,74,2
74,34,2
34,75,2
75,76,3
76,77,2
77,78,2
78,79,3
79,80,2
80,81,2
81,82,3
82,83,2
83,84,3
75,85,3
85,86,2
86,87,2
87,88,2
88,89,2
90,91,3
91,92,2
92,93,2
93,94,3
94,95,2
95,96,2
96,97,2
97,98,2
98,99,4
99,62,2
62,31,2
31,100,2
100,72,2
72,9,2
9,101,2
101,102,1
102,103,2
103,104,2
104,105,1
105,106,2
106,107,2
107,23,2
55,108,3
108,109,2
109,110,2
110,69,2
69,111,4
111,112,2
112,113,2
113,114,2
114,115,3
115,116,4
116,80,3
80,117,2
117,118,3
96,115,11
97,116,11